"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"AH1","3x08","3x08",179.555,-92.7,0,"top"
"AH2","3x08","3x08",190,-92.7,0,"top"
"AH3","3x08","3x08",179.555,-116.4,0,"top"
"AH4","3x08","3x08",189.96,-116.4,0,"top"
"C1","100n","C_0402_1005Metric",175.9,-69,-90,"top"
"C2","100n","C_0402_1005Metric",183.9,-62.6,90,"top"
"C3","100n","C_0402_1005Metric",189,-67.5,0,"top"
"C4","10u","C_0402_1005Metric",175,-60.8,180,"top"
"C5","100n","C_0402_1005Metric",184,-73.3,-90,"top"
"C6","100n","C_0402_1005Metric",174.98,-61.8,180,"top"
"C7","100n","C_0402_1005Metric",180.2,-73,-90,"top"
"C8","100n","C_0402_1005Metric",180.4,-62.7,90,"top"
"C9","100n","C_0402_1005Metric",177.5,-67.5,180,"top"
"C10","100n","C_0402_1005Metric",189,-66.5,180,"top"
"C11","1u","C_0402_1005Metric",178.4,-64,90,"top"
"C12","100n","C_0402_1005Metric",158.7,-139.4,0,"top"
"C13","100n","C_0402_1005Metric",168.4,-143.9,90,"top"
"C14","100n","C_0402_1005Metric",174.4,-117.8,0,"top"
"C15","100n","C_0402_1005Metric",115,-77.8,0,"top"
"C16","1u","C_0402_1005Metric",175,-59.2,-90,"top"
"C17","16p","C_0402_1005Metric",189.7,-73,0,"top"
"C18","100n","C_0402_1005Metric",126.3,-75.7,180,"top"
"C19","100n","C_0402_1005Metric",174.2821,-94.2086,0,"top"
"C20","100n","C_0402_1005Metric",168.6,-86.5,0,"top"
"C21","16p","C_0402_1005Metric",192.8,-70.3,90,"top"
"C22","1u","C_0402_1005Metric",177.2,-63.9,-90,"top"
"C23","100n","C_0402_1005Metric",179.4,-62.7,90,"top"
"C24","100n","C_0402_1005Metric",177.5,-68.6,0,"top"
"C25","100n","C_0402_1005Metric",177,-66.3,180,"top"
"C26","100n","C_0402_1005Metric",182.88,-76.8,0,"top"
"D1","1N4148WT","D_SOD-523",107.696,-89.662,0,"top"
"D2","1N4148WT","D_SOD-523",107.696,-92.202,0,"top"
"D3","1N4148WT","D_SOD-523",107.696,-94.742,0,"top"
"D4","1N4148WT","D_SOD-523",107.696,-97.282,0,"top"
"D5","1N4148WT","D_SOD-523",107.696,-99.822,0,"top"
"D6","1N4148WT","D_SOD-523",107.696,-102.362,0,"top"
"D7","1N4148WT","D_SOD-523",107.696,-104.902,0,"top"
"D8","1N4148WT","D_SOD-523",107.696,-107.442,0,"top"
"D9","1N4148WT","D_SOD-523",119.126,-89.662,0,"top"
"D10","1N4148WT","D_SOD-523",119.126,-92.202,0,"top"
"D11","1N4148WT","D_SOD-523",119.126,-94.742,0,"top"
"D12","1N4148WT","D_SOD-523",119.126,-97.282,0,"top"
"D13","1N4148WT","D_SOD-523",119.126,-99.822,0,"top"
"D14","1N4148WT","D_SOD-523",119.126,-102.362,0,"top"
"D15","1N4148WT","D_SOD-523",119.126,-104.902,0,"top"
"D16","1N4148WT","D_SOD-523",119.126,-107.442,0,"top"
"D17","PRTR5V0U2X","SOT-143",171.9,-64.3,0,"top"
"D18","1N4148WT","D_SOD-523",130.556,-89.662,0,"top"
"D19","1N4148WT","D_SOD-523",130.556,-92.202,0,"top"
"D20","1N4148WT","D_SOD-523",130.556,-94.742,0,"top"
"D21","1N4148WT","D_SOD-523",130.556,-97.282,0,"top"
"D22","1N4148WT","D_SOD-523",130.556,-99.822,0,"top"
"D23","1N4148WT","D_SOD-523",130.556,-102.362,0,"top"
"D24","1N4148WT","D_SOD-523",130.556,-104.902,0,"top"
"D25","1N4148WT","D_SOD-523",130.556,-107.442,0,"top"
"D26","1N4148WT","D_SOD-523",141.986,-89.662,0,"top"
"D27","1N4148WT","D_SOD-523",141.986,-92.202,0,"top"
"D28","1N4148WT","D_SOD-523",141.986,-94.742,0,"top"
"D29","1N4148WT","D_SOD-523",141.986,-97.282,0,"top"
"D30","1N4148WT","D_SOD-523",141.986,-99.822,0,"top"
"D31","1N4148WT","D_SOD-523",141.986,-102.362,0,"top"
"D32","1N4148WT","D_SOD-523",141.986,-104.902,0,"top"
"D33","1N4148WT","D_SOD-523",141.986,-107.442,0,"top"
"D34","1N4148WT","D_SOD-523",105.9,-80.3,-90,"top"
"D35","Red","LED_0805_2012Metric",183.5,-58.2,90,"top"
"D36","Green","LED_0805_2012Metric",186.3,-58.2,90,"top"
"D37","Blue","LED_0805_2012Metric",189.1,-58.2,90,"top"
"D38","1N4148WT","D_SOD-523",107.696,-111.506,0,"top"
"D39","1N4148WT","D_SOD-523",107.696,-114.046,0,"top"
"D40","1N4148WT","D_SOD-523",107.696,-116.586,0,"top"
"D41","1N4148WT","D_SOD-523",107.696,-119.126,0,"top"
"D42","1N4148WT","D_SOD-523",107.696,-121.666,0,"top"
"D43","1N4148WT","D_SOD-523",107.696,-124.206,0,"top"
"D44","1N4148WT","D_SOD-523",107.696,-126.746,0,"top"
"D45","1N4148WT","D_SOD-523",107.696,-129.286,0,"top"
"D46","1N4148WT","D_SOD-523",119.126,-111.506,0,"top"
"D47","1N4148WT","D_SOD-523",119.126,-114.046,0,"top"
"D48","1N4148WT","D_SOD-523",119.126,-116.586,0,"top"
"D49","1N4148WT","D_SOD-523",119.126,-119.126,0,"top"
"D50","1N4148WT","D_SOD-523",119.126,-121.666,0,"top"
"D51","1N4148WT","D_SOD-523",119.126,-124.206,0,"top"
"D52","1N4148WT","D_SOD-523",119.126,-126.746,0,"top"
"D53","1N4148WT","D_SOD-523",119.126,-129.286,0,"top"
"D54","1N4148WT","D_SOD-523",130.556,-111.506,0,"top"
"D55","1N4148WT","D_SOD-523",130.556,-114.046,0,"top"
"D56","1N4148WT","D_SOD-523",130.556,-116.586,0,"top"
"D57","1N4148WT","D_SOD-523",130.556,-119.126,0,"top"
"D58","1N4148WT","D_SOD-523",130.556,-121.666,0,"top"
"D59","1N4148WT","D_SOD-523",130.556,-124.206,0,"top"
"D60","1N4148WT","D_SOD-523",130.556,-126.746,0,"top"
"D61","1N4148WT","D_SOD-523",130.556,-129.286,0,"top"
"D62","1N4148WT","D_SOD-523",141.986,-111.506,0,"top"
"D63","1N4148WT","D_SOD-523",141.986,-114.046,0,"top"
"D64","1N4148WT","D_SOD-523",141.986,-116.586,0,"top"
"D65","1N4148WT","D_SOD-523",141.986,-119.126,0,"top"
"D66","1N4148WT","D_SOD-523",141.986,-121.666,0,"top"
"D67","1N4148WT","D_SOD-523",141.986,-124.206,0,"top"
"D68","1N4148WT","D_SOD-523",141.986,-126.746,0,"top"
"D69","1N4148WT","D_SOD-523",141.986,-129.286,0,"top"
"FB1","FerriteBead","R_0805_2012Metric",158.6,-60,90,"top"
"IH1","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",101.6,-89.662,0,"top"
"IH2","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",113.025,-89.662,0,"top"
"IH3","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",124.46,-89.662,0,"top"
"IH4","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",135.89,-89.662,0,"top"
"IH5","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",101.6,-111.506,0,"top"
"IH6","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",113.025,-111.506,0,"top"
"IH7","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",124.46,-111.506,0,"top"
"IH8","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",135.89,-111.506,0,"top"
"J1","DIN-5","DIN5",109.4,-68.6,0,"top"
"J2","DIN-5","DIN5",132.7,-68.6,0,"top"
"J3","TYPE-C-31-M-12","TYPE-C-31-M-12",164.9,-58,180,"top"
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",161.7,-68.925,0,"top"
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",190.4,-63.9,90,"top"
"J6","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",194.4,-79.6,0,"top"
"J7","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",187.6,-79.6,0,"top"
"J8","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",157.8,-68.9,0,"top"
"OH1","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",101.6,-133.4,0,"top"
"OH2","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",107.95,-133.4,0,"top"
"OH3","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",114.3,-133.4,0,"top"
"OH4","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",120.65,-133.4,0,"top"
"OH5","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",127,-133.4,0,"top"
"OH6","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",133.35,-133.4,0,"top"
"OH7","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",139.7,-133.4,0,"top"
"OH8","Conn_02x08_Top_Bottom","PinHeader_2x06_P2.54mm_Vertical",146.05,-133.4,0,"top"
"R1","5.1k","R_0402_1005Metric",166.7,-64.9,0,"top"
"R2","5.1k","R_0402_1005Metric",162.4,-64.6,180,"top"
"R3","10k","R_0402_1005Metric",165.4,-68,-90,"top"
"R4","220","R_0402_1005Metric",105.9,-77.9,-90,"top"
"R5","33","R_0402_1005Metric",128.6,-68.5,90,"top"
"R6","1k","R_0402_1005Metric",180.3,-56.2,0,"top"
"R7","680","R_0402_1005Metric",180.3,-58.4,0,"top"
"R8","1k","R_0402_1005Metric",180.3,-57.3,0,"top"
"R9","4.7k","R_0402_1005Metric",135.6,-77.8,90,"top"
"R10","10","R_0402_1005Metric",128.6,-63.5,-90,"top"
"R11","4.7k","R_0402_1005Metric",137.2,-77.8,90,"top"
"R12","4.7k","R_0402_1005Metric",114.3,-74.9,180,"top"
"R13","4.7k","R_0402_1005Metric",138.7,-77.8,90,"top"
"R14","4.7k","R_0402_1005Metric",140.3,-77.8,90,"top"
"R15","4.7k","R_0402_1005Metric",134.2,-77.8,90,"top"
"R16","4.7k","R_0402_1005Metric",132.7,-77.8,90,"top"
"R17","4.7k","R_0402_1005Metric",131.1,-77.8,90,"top"
"R18","4.7k","R_0402_1005Metric",129.6,-77.8,90,"top"
"R19","10k","R_0402_1005Metric",161.5821,-139.4206,180,"top"
"R20","1k","R_0402_1005Metric",164.3,-68,90,"top"
"R21","1k","R_0402_1005Metric",189.8,-68.8,180,"top"
"R22","10k","R_0402_1005Metric",188,-64.6,-90,"top"
"R23","27","R_0402_1005Metric",175.2,-65.6,90,"top"
"R24","27","R_0402_1005Metric",174.1,-65.6,90,"top"
"U1","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",170.7,-70.4,0,"top"
"U2","TLP2362","SO-5_4.4x3.6mm_P1.27mm",111.5441,-80.4926,0,"top"
"U3","MAX7219","SOIC-24W_7.5x15.4mm_P1.27mm",159.8041,-146.2786,90,"top"
"U4","74HC138","SO-16_3.9x9.9mm_P1.27mm",123.4821,-81.5086,0,"top"
"U5","74HC4067","SOIC-24W_7.5x15.4mm_P1.27mm",170.4721,-102.8446,0,"top"
"U6","74HC4067","SOIC-24W_7.5x15.4mm_P1.27mm",170.4721,-126.4666,0,"top"
"U7","74HCT125","TSSOP-14_4.4x5mm_P0.65mm",171.7421,-146.2786,90,"top"
"U8","74HCT125","TSSOP-14_4.4x5mm_P0.65mm",167.1,-82.1,-90,"top"
"U9","SPX3819M5","SOT-23-5",172.7,-58.2,-90,"top"
"U10","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",183.1,-67.9,90,"top"
"U11","74HC165","SO-16_3.9x9.9mm_P1.27mm",180.2,-82.7,0,"top"
"Y1","12MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",190.5,-70.9,0,"top"
