Designator,Mid X,Mid Y,Layer,Rotation
C1,82.80,92.46,Top,180.0
C2,78.23,80.77,Top,270.0
C3,79.63,91.69,Top,90.0
C4,72.64,83.06,Top,270.0
C5,79.76,79.50,Top,270.0
C6,71.12,83.06,Top,270.0
C7,91.19,78.49,Top,0.0
C8,94.23,87.25,Top,0.0
C9,91.19,79.76,Top,0.0
C10,94.23,88.77,Top,0.0
C11,89.15,92.46,Top,0.0
C15,17.02,81.28,Top,0.0
C16,76.45,95.00,Top,90.0
C17,93.22,84.84,Top,0.0
C18,27.94,79.76,Top,180.0
C19,75.69,60.71,Top,0.0
C20,75.69,37.08,Top,0.0
C21,69.85,10.67,Top,270.0
C22,59.94,15.49,Top,180.0
C23,96.27,79.50,Top,0.0
C24,96.27,84.07,Top,180.0
D1,10.16,64.26,Top,0.0
D2,21.59,64.26,Top,0.0
D3,33.02,64.26,Top,0.0
D4,44.70,64.26,Top,0.0
D5,10.16,59.18,Top,0.0
D6,21.59,59.18,Top,0.0
D7,33.02,59.18,Top,0.0
D8,44.70,59.18,Top,0.0
D9,10.16,54.10,Top,0.0
D10,21.59,54.10,Top,0.0
D11,33.02,54.10,Top,0.0
D12,44.70,54.10,Top,0.0
D13,10.16,49.02,Top,0.0
D14,21.59,49.02,Top,0.0
D15,33.02,49.02,Top,0.0
D16,44.70,49.02,Top,0.0
D17,64.52,80.52,Top,180.0
D18,10.16,42.42,Top,0.0
D19,21.59,42.42,Top,0.0
D20,33.02,42.42,Top,0.0
D21,44.70,42.42,Top,0.0
D22,10.16,37.34,Top,0.0
D23,21.59,37.34,Top,0.0
D24,33.02,37.34,Top,0.0
D25,44.70,37.34,Top,0.0
D26,10.16,32.26,Top,0.0
D27,21.59,32.26,Top,0.0
D28,33.02,32.26,Top,0.0
D29,44.70,32.26,Top,0.0
D30,10.16,27.18,Top,0.0
D31,21.59,27.18,Top,0.0
D32,33.02,27.18,Top,0.0
D33,44.70,27.18,Top,0.0
D34, 6.10,80.14,Top,0.0
D35,90.68,97.03,Top,270.0
D36,87.63,97.03,Top,270.0
D37,84.58,97.03,Top,270.0
L1,54.61,93.22,Top,270.0
R1,76.20,83.06,Top,0.0
R2,76.20,84.33,Top,180.0
R3,96.01,77.22,Top,180.0
R4, 5.71,73.41,Top,270.0
R5, 3.81,84.07,Top,270.0
R6,82.17,94.36,Top,180.0
R7,82.17,96.65,Top,180.0
R8,82.17,98.04,Top,0.0
R9,30.99,77.22,Top,270.0
R10, 3.81,90.68,Top,90.0
R11,32.51,77.22,Top,270.0
R12, 3.81,87.38,Top,90.0
R13,34.04,77.22,Top,270.0
R14,35.56,77.22,Top,270.0
R15,41.66,77.22,Top,270.0
R16,40.13,77.22,Top,270.0
R17,38.61,77.22,Top,270.0
R18,37.08,77.22,Top,270.0
R19,62.99,15.49,Top,0.0
U1,85.34,85.34,Top,180.0
U2,12.95,74.42,Top,0.0
U3,61.21, 8.64,Top,90.0
U4,24.89,73.41,Top,0.0
U5,71.88,52.07,Top,0.0
U6,71.88,28.45,Top,0.0
U7,73.15, 8.64,Top,90.0
VR2,74.17,96.01,Top,90.0
Y1,95.25,81.79,Top,0.0
