Part,Description,Package
C1,10u capacitor,153CLV-0605
C2,0.1u capacitor,0805
C3,0.01u capacitor,0805
C4,22p capacitor,0805
C5,22p capacitor,0805
C6,0.1u capacitor,0805
C7,0.1u capacitor,0805
C8,0.1u capacitor,0805
C9,0.1u capacitor,0805
C10,0.1u capacitor,0805
C11,0.1u capacitor,0805
C12,0.1u capacitor,0805
C13,0.1u capacitor,0805
C14,0.1u capacitor,0805
C15,4.7u capacitor,0805
C16,4.7u capacitor,0805
C17,0.1u capacitor,0805
C18,0.1u capacitor,0805
C19,4.7u capacitor,0805
C20,4.7u capacitor,0805
C21,0.1u capacitor,0805
C22,0.1u capacitor,0805
CONN01,MIDI in connector,DIN5
CONN02,MIDI out connector,DIN5
CONN03,USB B connector,USB-B-PTH
D1,BAW56 Small Signal Diode,SOT23
D2,BAW56 Small Signal Diode,SOT23
D3,BAW56 Small Signal Diode,SOT23
D4,BAW56 Small Signal Diode,SOT23
D5,BAW56 Small Signal Diode,SOT23
D6,BAW56 Small Signal Diode,SOT23
D7,BAW56 Small Signal Diode,SOT23
D8,BAW56 Small Signal Diode,SOT23
D9,BAW56 Small Signal Diode,SOT23
D10,BAW56 Small Signal Diode,SOT23
D11,BAW56 Small Signal Diode,SOT23
D12,BAW56 Small Signal Diode,SOT23
D13,BAW56 Small Signal Diode,SOT23
D14,BAW56 Small Signal Diode,SOT23
D15,BAW56 Small Signal Diode,SOT23
D16,BAW56 Small Signal Diode,SOT23
D17,BAW56 Small Signal Diode,SOT23
D18,BAW56 Small Signal Diode,SOT23
D19,BAW56 Small Signal Diode,SOT23
D20,BAW56 Small Signal Diode,SOT23
D21,BAW56 Small Signal Diode,SOT23
D22,BAW56 Small Signal Diode,SOT23
D23,BAW56 Small Signal Diode,SOT23
D24,BAW56 Small Signal Diode,SOT23
D25,BAW56 Small Signal Diode,SOT23
D26,BAW56 Small Signal Diode,SOT23
D27,BAW56 Small Signal Diode,SOT23
D28,BAW56 Small Signal Diode,SOT23
D29,BAW56 Small Signal Diode,SOT23
D30,BAW56 Small Signal Diode,SOT23
D31,BAW56 Small Signal Diode,SOT23
D32,BAW56 Small Signal Diode,SOT23
D33,BAW56 Small Signal Diode,SOT23
D34,PRTR5V0U2X double rail-to-rail ESD protection diode,SOT143
JP1,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP2,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP3,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP4,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP5,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP6,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP7,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP8,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP9,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP10,Through-hole male pin header (2.54mm/1x08),1X08-2.54
JP11,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP12,Through-hole male pin header (2.54mm/1x08),1X08-2.54
JP13,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP14,Through-hole male pin header (2.54mm/1x08),1X08-2.54
JP15,Through-hole male pin header (2.54mm/2x08),2X08-2.54
JP16,Through-hole male pin header (2.54mm/1x08),1X08-2.54
JP17,Through-hole male pin header (2.54mm/2x08),2X06-2.54
JP18,Through-hole male pin header (2.54mm/2x06),2X06-2.54
JP19,Through-hole male pin header (2.54mm/2x06),2X06-2.54
JP20,Through-hole male pin header (2.54mm/2x06),2X06-2.54
JP21,Through-hole male pin header (2.54mm/2x06),2X06-2.54
JP22,Through-hole male pin header (2.54mm/2x06),2X06-2.54
JP23,Through-hole male pin header (2.54mm/2x06),2X06-2.54
JP24,Through-hole male pin header (2.54mm/2x06),2X06-2.54
JP25,Through-hole male pin header (2.54mm/2x03),2X03-2.54
LED_BOOT,Green LED,1206
LED_POWER,Orange LED,1206
Q1,FDC6312P Dual P-Channel 1.8V MOSFET,SSOT6
Q2,FDC6312P Dual P-Channel 1.8V MOSFET,SSOT6
Q3,FDC6312P Dual P-Channel 1.8V MOSFET,SSOT6
R1,R22 resistor,1206
R2,R22 resistor,1206
R3,4k7 resistor,1206
R4,4k7 resistor,1206
R5,R220 resistor,1206
R6,10k resistor,1206
R7,R220 resistor,1206
R8,R220 resistor,1206
R9,10k resistor,1206
R10,10k resistor,1206
R11,10k resistor,1206
R12,10k resistor,1206
R13,10k resistor,1206
R14,10k resistor,1206
R15,10k resistor,1206
R16,10k resistor,1206
R17,10k resistor,1206
R18,4k7 resistor,1206
R19,4k7 resistor,1206
R20,4k7 resistor,1206
R21,4k7 resistor,1206
R22,4k7 resistor,1206
R23,4k7 resistor,1206
R24,R62 resistor,1206
R25,R62 resistor,1206
R26,R62 resistor,1206
R27,R62 resistor,1206
R28,R62 resistor,1206
R29,R62 resistor,1206
U1,ATMEGA32U4-AU microcontroller,TQFP-44
U2,6N137 optocoupler,DIL08
U3,74HCT165 input shift register,SO16
U4,74HC138 decoder,SO16
U5,HEF4067B analog multiplexer,SO24-W
U6,HEF4067B analog multiplexer,SO24-W
U7,74HCT238 decoder,SO16
U8,ULN2803A Darlington Transistor Arrays,SO18
VR1,MCP1825S 3.3V LDO regulator,SOT223
VR2,LP5907 4.5V LDO regulator,SOT23-5
Y1,16MHz crystal,HC49US
